id,product_name,price,quantity,customer_id
1,Product A,25.5,1,101
2,Product B,35.0,2,102
3,Product C,,1,103
4,Product D,12.0,2,104
5,Product A,25.5,1,101
6,Product E,40.0,3,105
7,Product F,,1,106
8,Product G,15.5,,108
9,Product H,20.0,1,109
10,Product I,18.0,1,110
11,Product J,22.0,1,111
12,Product K,17.5,1,112
13,Product L,30.0,1,113
14,Product M,28.0,1,114
15,Product N,45.0,1,115
16,Product O,55.0,1,116
17,Product P,32.0,1,117
18,Product Q,40.0,1,118
19,Product R,25.0,1,119
20,Product S,25.5,1,120
21,Product T,35.0,1,121
22,Product U,10.0,1,122
23,Product V,33.5,1,123
24,Product W,23.0,1,124
25,Product X,27.5,1,125
26,Product Y,34.0,1,126
27,Product Z,36.0,1,127
28,Product AA,38.0,1,128
29,Product AB,,1,129
30,Product AC,45.0,1,130


